KEY,Vietnamese,English
TripleShot_des,"Bắn liên tiếp 3 kiếm khí, mỗi kiếm khí đẩy lùi kẻ địch 1m","Unleashes 3 arrows at once, each knocking back the enemy 1 m"
TripleShot_level2_des,Tăng [param5_1] Tỉ Lệ Bạo Kích cho các phát bắn này,CRIT is increased by [param5_1] each shot
TripleShot_level3_des,Kẻ địch sau khi bị dính 3 phát bắn sẽ bị ngã ra [param6_2]s,"After being hit, the enemy is knocked down for [param6_2] s"
Marksmanship,Thương Dương Kiếm,Expert Marksman
Marksmanship_des,Tăng [RaiseAtkEffect_param1_0]% sức tấn công cho toàn bộ đồng đội đánh xa,ATK for all ranged allies increases by [RaiseAtkEffect_param1_0]%
Marksmanship_level2_des,Sức tấn công tăng lên thành [RaiseAtkEffect_param1_1]%,ATK is increased to [RaiseAtkEffect_param1_1]%
Marksmanship_level3_des,Tác dụng lên cả đồng đội cận chiến,Melee allies are also granted with the buff effects.
BackTrackTripleShot,Lăng Ba Vi Bộ,Backtrack Triple Shot
BackTrackTripleShot_des,"Vừa nhảy lùi về phía sau vừa bắn 3 kiếm khí, mỗi kiếm khí đẩy lùi kẻ địch 1m","Jumps back while unleashing three arrows at once, each knocking back the enemy 1 m"
BackTrackTripleShot_level2_des,Tăng [param6_1] Tỉ Lệ Bạo Kích cho các phát bắn này,CRIT is increased by [param6_1] each shot
BackTrackTripleShot_level3_des,Kẻ địch sau khi bị dính 3 phát bắn sẽ bị ngã ra [param7_1]s,"After being hit, the enemy is knocked down for [param7_1] s"
CounterStrike,Kiến Long Tại Điền,Counterstrike
CounterStrike_des,Thủ thế trong [PaybackReceiveDmgEffect_duration_0]s - kháng toàn bộ sát thương và hiệu ứng xấu. Sau đó phản công lên kẻ địch trước mặt với sát thương bằng  200% Sức Tấn Công + một nửa Sát Thương nhận khi thủ thế,"Hero takes a defensive stance with shield raised for immunity to all damage and statuses for [PaybackReceiveDmgEffect_duration_0] s, followed by a counterstrike dealing damage equal to 200% ATK plus half of damage received while defending"
CounterStrike_level2_des,Tăng thời gian thủ thế lên thành [PaybackReceiveDmgEffect_duration_1]s,Defensive stance effect is increased to [PaybackReceiveDmgEffect_duration_1] s
CounterStrike_level3_des,Sát thương phản công tăng thêm 100% Sức Tấn Công bản thân,Counterstrike damage is increased by 100% ATK
CounterStrike_level4_des,"Kết thúc chiêu thức, bản thân được gia tăng [param4_3]% Tốc Độ Tấn Công trong [param5_3]s",
ShieldCharge,Đột Như Kỳ Lai,Shield Charge
ShieldCharge_des,"Lao thẳng về phía trước, gây choáng [StunEffect_duration_0]s và đẩy lùi toàn bộ kẻ địch trên đường. Gây sát thương bằng [param1_0]% Sức Tấn Công","Hero charges forward with shield raised, knocking back all enemies in front and stunning them for [StunEffect_duration_0] s, while dealing [param1_0]% damage ."
ShieldCharge_level2_des,Sát thương tăng lên thành [param1_1]% Sức Tấn Công,Damage is increased to [param1_1]%
ShieldCharge_level3_des,Tăng quãng đường lao lên,Charge distance increases
United,Giáng Long Tâm Pháp,Unite
United_des,Mỗi đồng đội còn sống tăng [RaiseAtkBaseOnAliveAllyEffect_param1_0]% Sức Tấn Công cho Hồng Thất Công,Each living ally increases [RaiseAtkBaseOnAliveAllyEffect_param1_0]% ATK for hero.
United_level2_des,Tăng [RaiseAtkBaseOnAliveAllyEffect_param1_1]% Sức Tấn Công,Each ally’s ATK is increased by [RaiseAtkBaseOnAliveAllyEffect_param1_1]%
United_level3_des,Tăng [RaiseAtkBaseOnAliveAllyEffect_param1_2]% Sức Tấn Công,Each ally’s ATK is increased by [RaiseAtkBaseOnAliveAllyEffect_param1_2]%
ProtectionAura,Tiềm Long Vật Dụng,Protective Aura
ProtectionAura_des,"Khi Hồng Thất Công còn sống, toàn bộ đồng đội được [ProtectionAuraEffect_param2_0]% sát thương nhận vào - tác dụng gấp đôi với bản thân Hồng Thất Công",Reduces each living ally’s damage received by [ProtectionAuraEffect_param2_0]% and reduces double that amount to the Hero
ProtectionAura_level2_des,[ProtectionAuraEffect_param2_1]% sát thương nhận vào,Damage received is reduced by [ProtectionAuraEffect_param2_1]%
ProtectionAura_level3_des,[ProtectionAuraEffect_param2_2]% sát thương nhận vào,Damage received is reduced by [ProtectionAuraEffect_param2_2]%
SleepDust,Thanh Âm U Vận,Sleep Dust
SleepDust_des,Ru ngủ toàn bộ kẻ địch trong [SleepEffect_duration_0]s,Lulls all enemies to sleep for [SleepEffect_duration_0] s
SleepDust_level2_des,Kẻ địch bị giảm [ReduceDefenseEffect_param1_1]% Phòng Ngự,Enemies’ DEF is reduced by [ReduceDefenseEffect_param1_1]%
SleepDust_level3_des,Kẻ địch nhận sát thương [param1_2]% Sức Tấn Công mỗi 1s,Enemies receive [param1_2]% damage per second
SleepDust_level4_des,Giảm Phòng Ngự địch tăng thành [ReduceDefenseEffect_param1_3]%,
HealPotion,Nguyên Thanh Lưu Khiết,Healing Potion
HealPotion_des,"Ném chai thuốc cho đồng đội có Sinh Lực thấp nhất, đồng đội nhận được hiệu ứng hồi phục [RegenerateHPIntervalEffect_param1_0]% Sinh Lực mỗi giây trong [RegenerateHPIntervalEffect_duration_0]s",Hero throws a potion to the ally with the lowest HP that recovers [RegenerateHPIntervalEffect_param1_0]% HP/s for [RegenerateHPIntervalEffect_duration_0] s
HealPotion_level2_des,Tăng [RaiseStatusResEffect_param1_1] điểm kháng trạng thái xấu cho đồng đội,Ally’s Status Res is increased by [RaiseStatusResEffect_param1_1]
HealPotion_level3_des,Ném đồng thời 2 chai thuốc,Throw 2 potions at once
Hex,Thông Hiểu Võ Học,Hex
Hex_des,"Đọc võ công của kẻ địch, khiến hắn hoa mắt chóng mặt và không thể tấn công trong [HexVNYEffect_duration_0]s",Throw a potion that transforms an enemy into a rabbit for [HexEffect_duration_0] s
Hex_level2_des,Kẻ địch bị mất [ReduceDefenseEffect_param1_1]% Phòng Ngự,Transformed enemy’s DEF is reduced by [ReduceDefenseEffect_param1_1]%
Hex_level3_des,Thời gian bị đọc võ công tăng lên thành [HexVNYEffect_duration_2]s,Effect duration is increased to [HexEffect_duration_2] s
SelfHex,Thiên biến Vạn Hóa,Self-Hex
SelfHex_des,"Khi bị tấn công, Vương Ngữ Yên khiến bản thân mờ đi và làm kẻ địch không thể đánh trúng",Transform herself into a rabbit to flee from incoming attack
SelfHex_level2_des,"Trong khi mờ đi, [ModifyReceiveSkillDmgEffect_param1_1]% sát thương võ công phải nhận","In rabbit form, skill damage resistance is increased by [ModifyReceiveSkillDmgEffect_param1_1]%"
SelfHex_level3_des,"Khi biến lại bình thường, được tăng [RaiseAtkEffect_param1_2]% Sức Tấn Công trong [RaiseAtkEffect_duration_2]s","Once back in Hero form, ATK is increased by [RaiseAtkEffect_param1_2]% for [RaiseAtkEffect_duration_2] s"
Clone,Song Thủ Hỗ Bác,Clone
Clone_des,"Tạo một hư ảnh ở vị trí hiện tại đánh lừa kẻ địch, bản thân Chu Bá Thông biến ra sau lưng địch đánh 1 đòn gây ra sát thương bằng [param1_0]% Sức Tấn Công. Hư ảnh không có võ công, sát thương nhận vào tăng 200%, có 100% Sức Tấn Công, tồn tại [param4_0]s","Creates a Decoy at the Hero’s position, allowing the Hero to blink to enemy’s back in order to deal [param1_0]% damage. Decoy possesses no skills, receives 200% damage, deals 100% damage, and exists for [param4_0] s"
Clone_level2_des,Hư Ảnh có nội tại,Decoy possesses a passive skill
Clone_level3_des,Tăng thời gian tồn tại của hư ảnh lên thành [param4_2]s,Decoy duration is increased to [param4_2] s
Clone_level4_des,Tăng [RaiseAtkSpeedEffect_param1_3]% Tốc Độ Tấn Công cho bản thân trong [RaiseAtkSpeedEffect_duration_3]s,
VenomAttack,Trác Mục Tranh Châu,Venom Attack
VenomAttack_des,Đấm mạnh vào kẻ địch và khiến hắn bị nội thương. Nội thương làm kẻ địch mất [ReduceMaxHPDPSEffect_param1_0]% Sinh Lực mỗi giây trong [ReduceMaxHPDPSEffect_duration_0]s,"Thrusts a poisoned weapon into the enemy, reducing their HP by [ReduceMaxHPDPSEffect_param1_0]%/s for [ReduceMaxHPDPSEffect_duration_0] s"
VenomAttack_level2_des,Nội thương làm giảm tốc độ đánh của kẻ địch [ReduceAtkSpeedEffect_param1_1]%,"When poisoned, enemy’s attack speed is reduced by [ReduceAtkSpeedEffect_param1_1]%"
VenomAttack_level3_des,Nội thương làm địch mất [ReduceMaxHPDPSEffect_param1_2]% Sinh Lực mỗi giây,"When poisoned, enemy’s HP is reduced by [ReduceMaxHPDPSEffect_param1_2]%/s"
NinjaPassive,Không Minh Quyền,Ninja Strike
NinjaPassive_des,Tu luyện thân pháp - tăng [param1_0] Né Tránh,Performing ninjutsu increases Evasion by [param1_0]
NinjaPassive_level2_des,Tăng [RaiseAtkOnBackEffect_param1_1]% Sức Tấn Công khi đánh sau lưng kẻ địch,"When attacking from behind, damage dealt is increased by [RaiseAtkOnBackEffect_param1_1]%"
NinjaPassive_level3_des,Tăng [AddCritEffect_param1_0] Tỉ Lệ Bạo Kích,CRIT increased by [AddCritEffect_param1_0]
ManaBreak,Vân Đạm Phong Khinh,Mana Break
ManaBreak_des,Mỗi đòn tấn công trúng mục tiêu làm kẻ địch mất [ManaBreakEffect_param1_0] Nội Lực,Each successful attack also destroy [ManaBreakEffect_param1_0] Mana from the enemy
ManaBreak_level2_des,Mất [ManaBreakEffect_param1_1] Nội Lực,Amount of Mana destroyed is increased to [ManaBreakEffect_param1_1]
ManaBreak_level3_des,Mất [ManaBreakEffect_param1_2] Nội Lực,Amount of Mana destroyed is increased to [ManaBreakEffect_param1_2]
Onnislash,Hư Vô Kiếm Pháp,Omni Slash
Onnislash_des,"Chém lần lượt 2 kẻ địch gần nhất, mỗi kẻ địch 1 nhát chém Hoa Sơn Kiếm Pháp",Inflicts Lightning Slash sequentially upon the 2 nearest enemies
Onnislash_level2_des,Chém thêm Huyết Sát Kiếm Pháp,Blood Slash is inflicted to increase damage dealt
Onnislash_level3_des,Chém thêm Cuồng Phong Khoái Kiếm,Ice Slash is inflicted to increase damage dealt
Onnislash_level4_des,Giảm [param1_3]% Kháng Trạng Thái Xấu của địch trong 3s sau khi dùng chiêu thức,
LightningSlash,Hoa Sơn Kiếm Pháp,Lightning Slash
LightningSlash_des,"Chém kẻ địch cực nhanh, gây sát thương bằng [param1_0]% Sức Tấn Công  và làm choáng kẻ địch [StunEffect_duration_0]s",Draws a Lightning Katana that deals [param1_0]% damage and stuns the enemy for [StunEffect_duration_0] s
LightningSlash_level2_des,Nhát chém bỏ qua [param2_1]% Phòng Ngự của kẻ địch,Lightning Slash ignores [param2_1]% enemy DEF
LightningSlash_level3_des,Nhát chém bỏ qua [param2_2]% Phòng Ngự của kẻ địch,Lightning Slash ignores [param2_2]%  enemy DEF
BloodSlash,Huyết Sát Kiếm Pháp,Blood Slash
BloodSlash_des,"Chiêu thức bạo phát, gây sát thương bằng [param1_0]% Sức Tấn Công và hồi lại máu bằng [param2_0]% sinh lực kẻ địch mất đi",Draws a Blood Katana that deals [param1_0]% damage and recovers a portion of HP equal to [param2_0]% damage dealt
BloodSlash_level2_des,Hồi lại máu bằng [param2_1]% sinh lực kẻ địch mất đi,Recovered HP is increased to [param2_1]% damage dealt
BloodSlash_level3_des,Phế võ công kẻ địch [SilenceEffect_duration_2]s,Enemy is silenced for [SilenceEffect_duration_2] s
IceSlash,Cuồng Phong Khoái Kiếm,Ice Slash
IceSlash_des,"Kích phá nhược điểm của kẻ địch, chém gây sát thương bằng [param1_0]% Sức Tấn Công và làm chậm kẻ địch [ReduceMovementSpeedEffect_param1_0]% trong [ReduceMovementSpeedEffect_duration_0]s",Draws an Ice Katana that deals [param1_0]% damage and reduces enemy movement speed by [ReduceMovementSpeedEffect_param1_0]% for [ReduceMovementSpeedEffect_duration_0] s
IceSlash_level2_des,Làm chậm kẻ địch [ReduceMovementSpeedEffect_param1_1]%,Enemy’s movement speed is reduced by [ReduceMovementSpeedEffect_param1_1]%
IceSlash_level3_des,Tăng sát thương gây ra lên thành [param1_2]% Sức Tấn Công,Damage is increased to [param1_2]%
Reanimated,Bắc Minh Chân Khí,Reanimation
Reanimated_des,"Dùng Bắc Minh Chân Khí truyền vào kẻ địch đã chết, khiến hắn trở thành Cương Thi. Cương Thi có 100% Sinh Lực, 100% Sức Tấn Công, không có võ công","Reanimates an enemy’s corpse, granting it 100% HP and 100% ATK without skills"
Reanimated_level2_des,Tăng Sinh Lực tối đa của Cương Thi lên [param1_1]%,Reanimated corpse’s HP is increased to [param1_1]%
Reanimated_level3_des,Cương Thi có võ công nội tại,Reanimated corpse is granted with passive skills
Reanimated_level4_des,Tăng Sinh Lực tối đa của Cương Thi lên [param1_3]%,
FrostSpear,Thiên Sơn Lục Dương Chưởng,Frost Spear
FrostSpear_des,"Chưởng pháp chí dương chí cương, tấn công kẻ địch - gây sát thương bằng [param1_0]% Sức Tấn Công và làm choáng [StunEffect_duration_0]s","Hurls an Icy Spear at the enemy, dealing [param1_0]% damage and stunning them for [StunEffect_duration_0] s"
FrostSpear_level2_des,Tăng thời gian lên choáng lên thành [StunEffect_duration_1]s,Stun duration is increased to [StunEffect_duration_1] s
FrostSpear_level3_des,Tấn công 2 kẻ địch,Throw 2 spears at once
SelfReanimated,Chân Khí Hộ Thể,Self-Reanimation
SelfReanimated_des,"Ngay sau khi chết, Bắc Minh Chân Khí tự tác động lên bản thân","Upon death, Igor’s corpse automatically reanimates"
SelfReanimated_level2_des,Cương Thi của Hư Trúc có đầy đủ Võ Công,"Upon reanimation, all skills are restored"
SelfReanimated_level3_des,Cương Thi của Hư Trúc giữ nguyên Nội Lực trước khi chết,"Upon reanimation, amount of Mana held at time of death is restored"
CorpseExplosion,Sinh Tử Phù,Corpse Explosion
CorpseExplosion_des,Cương Thi khi chết sẽ nổ gây sát thương diện rộng bằng [param1_0]% Sức Tấn Công,"When defeated, reanimated corpse explodes, dealing [param1_0]% AOE damage"
CorpseExplosion_level2_des,Kẻ địch trong phạm vi nổ sẽ bị giảm 80% tốc độ di chuyển trong 4s,Explosion slows nearby enemies' movement speed by 80% for 4s
CorpseExplosion_level3_des,Sát thương nổ tăng lên thành [param1_2]%,Explosion damage is increased to [param1_2]%
Xbow,Kháng Long Hữu Hối,X-Bow
Xbow_des,"Chưởng pháp cực mạnh, chiêu thứ 5 của Hàng Long Thập Bát Chưởng - bắn liên tục [param1_0] phát về một kẻ địch, mỗi phát gây sát thương bằng [param2_0]% Sức Tấn Công. Khi mục tiêu chết thì số đòn còn dư sẽ chuyển qua mục tiêu khác. Lúc xuất chiêu thì miễn nhiễm hiệu ứng xấu.","Changes to repeating crossbow, shooting [param1_0] bolts consecutively towards an enemy. Each bolt deals [param2_0]% damage."
Xbow_level2_des,Mỗi phát gây sát thương [param2_1]% Sức Tấn Công,Each bolt's damage is increased to [param2_1]%
Xbow_level3_des,"Bắn đồng thời 2 kẻ địch, mỗi kẻ địch [param1_2] phát","Shoots 2 enemies at once, each receives [param1_2] bolts."
Xbow_level4_des,Tỉ lệ [param5_3]% bỏ qua [param6_3]% Kháng Chiêu Thức của địch khi tấn công.,
DoubleAxe,Song Long Thủ Thủy,Double Axe
DoubleAxe_des,"Chiêu thức thứ 10 của Hàng Long Thập Bát Chưởng, tấn công kẻ địch gây sát thương bằng [param1_0]% Sức Tấn Công","Hurls the axe on his back at an enemy, dealing [param1_0]% damage"
DoubleAxe_level2_des,Tăng [param3_1] Tỉ Lệ Bạo Kích cho chiêu thức này,Skill CRIT is increased by [param3_1]
DoubleAxe_level3_des,Sát thương tăng lên thành [param1_2]% Sức Tấn Công,Damage is increased to [param1_2]%
SmokeBomb,Mật Vân Bất Vũ,Smoke Bomb
SmokeBomb_des,"Song chưởng xoay tròn, tích tụ rồi bùng phát, giảm [ReduceOtherHitEffect_param1_0] Chính Xác của 2 kẻ địch. Tác dụng [ReduceOtherHitEffect_duration_0]s","Throws a Smoke Bomb at 2 enemies at the backline, decreasing HIT by [ReduceOtherHitEffect_param1_0] for [ReduceOtherHitEffect_duration_0] s"
SmokeBomb_level2_des,Tăng thời gian tác dụng lên thành [ReduceOtherHitEffect_duration_1]s,Effect duration is increased to [ReduceOtherHitEffect_duration_1] s
SmokeBomb_level3_des,Tăng thời gian tác dụng lên thành [ReduceOtherHitEffect_duration_2]s,Effect duration is increased to [ReduceOtherHitEffect_duration_2] s
Ks,Thiết Kình Cương Quyền,KS
Ks_des,Tấn công kẻ địch dưới [AddDmgBaseOnTargetHPEffect_param2_0]% Sinh Lực sẽ được tăng [AddDmgBaseOnTargetHPEffect_param1_0]% Sức Tấn Công,"When attacking an enemy with lower than [AddDmgBaseOnTargetHPEffect_param2_0]% HP, ATK increases by [AddDmgBaseOnTargetHPEffect_param1_0]%"
Ks_level2_des,Mỗi lần hạ sát một kẻ địch sẽ tăng [RaiseAtkWhenKillEffect_param1_1]% Sức Tấn Công,"With each enemy killed, ATK is increased by [RaiseAtkWhenKillEffect_param1_1]%"
Ks_level3_des,Khi tấn công kẻ địch dưới [AddCritBaseOnTargetHPEffect_param2_2]% Sinh Lực sẽ được tăng [AddCritBaseOnTargetHPEffect_param1_2] Tỉ Lệ Bạo Kích,"When attacking an enemy with lower than [AddCritBaseOnTargetHPEffect_param2_2]% HP, CRIT increases by [AddCritBaseOnTargetHPEffect_param1_2]"
Frenzy,Long Khiếu Cửu Thiên,Frenzy
Frenzy_des,"Gia tăng tốc độ đánh của bản thân 100%, đồng đội 50% trong [RaiseAtkSpeedInternalEffect_duration_0]s",Increases attack speed by 100% and allies’ attack speed by 50% for [RaiseAtkSpeedInternalEffect_duration_0] s
Frenzy_level2_des,Tự động sử dụng Dịch Cân Kinh,Automatically casts Royal Shield
Frenzy_level3_des,"Ngay sau khi sử dụng, giải hết hiệu ứng xấu của bản thân và đồng đội",Buffs remove all negative statuses from the party
Frenzy_level4_des,"Gia tăng tốc độ đánh của bản thân 150%, đồng đội 75%",
GreatBash,Thần Long Bái Vĩ,Great Bash
GreatBash_des,Sau [BashNormalAttackCountEffect_param2_0] phát đánh thường sẽ có 1 phát đánh mạnh - gây thêm sát thương bằng [BashNormalAttackCountEffect_param1_0]% Sức Tấn Công và làm choáng kẻ địch [BashNormalAttackCountEffect_param3_0]s,"After [BashNormalAttackCountEffect_param2_0] normal attacks, unleashes a powerful attack that deals [BashNormalAttackCountEffect_param1_0]% damage and inflicts stun for [BashNormalAttackCountEffect_param3_0] s"
GreatBash_level2_des,Tăng sát thương lên thành [BashNormalAttackCountEffect_param1_1]% Sức Tấn Công,Damage dealt is increased to [BashNormalAttackCountEffect_param1_1]%
GreatBash_level3_des,Giảm số phát đánh thường xuống thành [BashNormalAttackCountEffect_param2_2],Number of normal attacks required is reduced to [BashNormalAttackCountEffect_param2_2]
MarkedTarget,Long Trảo Thủ,Marked Target
MarkedTarget_des,Mỗi đòn đánh liên tiếp vào 1 mục tiêu tăng thêm sát thương bằng [param1_0]% Sức Tấn Công(tối đa [param2_0]%). Khi chuyển mục tiêu sẽ giữ một nửa % Sức Tấn Công đã tích lũy.,Each continuous attack upon an enemy increases ATK by [param1_0]% (up to [param2_0]%) that resets when target changes
MarkedTarget_level2_des,Mỗi đòn đánh tăng thêm sát thương bằng [param1_1]% Sức Tấn Công ( tối đa [param2_1]% ),"When target changes, half of ATK stacked is kept"
MarkedTarget_level3_des,Mỗi đòn đánh tăng thêm sát thương bằng [param1_2]% Sức Tấn Công ( tối đa [param2_2]% ),"With every attack, ATK is increased by [param1_2]% (up to [param2_2]%)"
RoyalShield,Dịch Cân Kinh,Royal Shield
RoyalShield_des,"Dùng nội lực hộ thể cho bản thân, nội lực hộ thể đỡ được [param1_0]% sát thương, tồn tại trong [MitigateDmgEffect_duration_0]s",Protects the Hero with an energy shield that blocks [param1_0]% damage for [MitigateDmgEffect_duration_0] s
RoyalShield_level2_des,"Khi có nội lực hộ thể, phục hồi [RegenerateHPIntervalEffect_param1_1]% Sinh Lực mỗi giây","When being shielded, hero heals [RegenerateHPIntervalEffect_param1_1]%/s"
RoyalShield_level3_des,"Khi có nội lực hộ thể, tăng tốc độ đánh [RaiseAtkSpeedInternalEffect_param1_2]%","When being shielded, attack speed is increased by [RaiseAtkSpeedInternalEffect_param1_2]% "
WildCall,Minh Hỏa Chấp Trượng,Wild Call
WildCall_des,"Kêu gọi 1 cao thủ Minh Giáo đến hộ vệ - có Sinh Lực bằng [param1_0]%, Sức Tấn Công bằng [param2_0]% Tiểu Chiêu",Summons a Bear Spirit to aid in battle with HP equal [param1_0]% and ATK equal [param2_0]% of the Hero’s own
WildCall_level2_des,Minh Giáo Cao Thủ có Sức Tấn Công bằng [param2_1]% Tiểu Chiêu,Bear Spirit’s ATK is now equal to [param2_1]% of the Hero’s
WildCall_level3_des,Minh Giáo Cao Thủ kháng toàn bộ hiệu ứng xấu,Bear Spirit resists all negative statuses
WildCall_level4_des,Minh Giáo Cao Thủ được tăng [param3_3]% Tốc Độ Tấn Công,
ArmorBreak,Dẫn Hỏa Thiêu Thân,Armor Break
ArmorBreak_des,"Mỗi đòn đánh làm giảm [ReducePhysicDefOnGetNormalAttackEffect_param1_0]% Phòng Ngự của kẻ địch, tối đa [ReducePhysicDefOnGetNormalAttackEffect_param2_0] lần xếp chồng.",Each attack reduces enemy’s DEF by [ReducePhysicDefOnGetNormalAttackEffect_param1_0]% and stacks up to [ReducePhysicDefOnGetNormalAttackEffect_param2_0] times
ArmorBreak_level2_des,"Khi xếp chồng đủ [ReducePhysicDefOnGetNormalAttackEffect_param2_0] lần giảm giáp, kẻ địch bị choáng [ReducePhysicDefOnGetNormalAttackEffect_param3_1]s ","At [ReducePhysicDefOnGetNormalAttackEffect_param2_0] stacks, enemy is stunned for [ReducePhysicDefOnGetNormalAttackEffect_param3_1] s"
