KEY,Vietnamese,English
QUEST_Item_Rare_Metal_Ores_Crate_des,"Hiếm ores for crafting very powerful materials. It’s said that the ancient dwarves alone knew how to smelt them. Alas, they mined too far and too deep, leaving these ores quite the rarity.","Những khoáng vật vô cùng ít thấy trên thế giới, từ chúng có thể rèn ra những bảo vật siêu phàm.Chỉ có những Người Lùn cổ xưa mới có thể rèn chúng. Tuy nhiên giờ rất khó để tìm được bọn họ."
VK_Dao,Trường Đao,Dao Sắt
VK_Dao_des,"Đao dài, những kẻ đi lại trên giang hồ hay dùng",Vũ khí thường rèn bởi thợ trong làng.
AG_AoDa,Ngưu Bì Sam,Áo Khoác Da
AG_AoDa_des,"Áo bảo vệ làm từ da trâu, mỏng nhẹ, có sức phòng ngự thấp",Làm từ da dày. Giữ ấm và có thể đỡ được vài đòn.
MU_MuDa,Nón Lá,Mũ Da
MU_MuDa_des,Nón của những kẻ đi lại trên giang hồ,Loại mũ trang bị cho lính bộ binh.
TS_VongCo,Bách Xuyên Giới Chỉ,Bùa Hộ Mệnh
TS_VongCo_des,Trang sức phổ thông của nhân sĩ giang hồ,Bùa hộ mệnh đơn giản được gắn đá.
VK_LuckyDagger,Đoản Đao,Dao thép
VK_LuckyDagger_des,"Đao nhỏ, mỏng nhưng sắc bén",Dao găm làm từ thép tốt
AG_GiapSat,Tướng Quân Khải,Phiến Giáp
AG_GiapSat_des,"Áo giáp dành cho tướng quân, khả năng chống chịu tốt",Được kết từ các tâp kim loại mỏng. Tuy rẻ nhưng cần thiết.
MU_MuSat,Tây Vực Phát Quán,Mũ Cứng
MU_MuSat_des,"Mũ của những kẻ đến từ Tây Vực, có thể chống lại gió và cát",Chiếc mũ sắt nặng nề kì quái. Dù không làm bạn mạnh lên nhưng chắc chắn làm bạn nổi bật giữa đám đông.
TS_VongBac,Ngân Giới Chỉ,Nhẫn Bạc
TS_VongBac_des,Nhẫn bằng bạc được chế tác bởi nghệ nhân,Chiếc nhẫn nhỏ bé gắn viên đá nhỏ xíu. Chống chỉ định mang đi cầu hôn.
VK_TruongKiem,Trường Kiếm,Trường Kiếm
VK_TruongKiem_des,"Kiếm dài, sắc bén mà không quá nặng như đao, các cao thủ vẫn ưa dùng",Kiếm quốc dân có bán đầy rẫy trong siêu thị.
AG_GiapThep,Đạo Sĩ Bào,Giáp Thép
AG_GiapThep_des,Trang phục phổ thông của những đạo sĩ đi lại trên giang hồ,"Sáng bóng và nặng nề, nguyên nhân của chứng đau lưng khi về già."
MU_MuThep,Minh Giáo Hoa Trâm,Mũ Thép
MU_MuThep_des,"Trâm cài đầu của giáo chúng Minh Giáo, có màu của lửa","Giúp bạn an toàn hơn khi cưỡi ngựa, chiến đấu và suy nghĩ."
TS_VongVang,Bích Kim Lưu Ly,Nhẫn Vàng
TS_VongVang_des,"Trang sức làm từ ngọc lưu ly, có khả năng tránh tà",Rất hợp để cầu hôn. Cứ dùng thử là biết liền.
VK_KiemOrc,Đại Kiếm,Lưỡi Đao Bạo Tàn
VK_KiemOrc_des,"Kiếm cỡ lớn, dày và nặng, có thể đập gãy xương kẻ địch","Mạnh mẽ, tàn nhẫn. Mặt hàng thủ công truyền thống."
AG_GiapOrc,Võ Đấu Sam,Áo Giáp Bạo Tàn
AG_GiapOrc_des,"Võ Phục của kẻ tập võ, mỏng nhẹ, phù hợp để chiến đấu","Bền chắc, phong các.Mặt hàng thủ công truyền thống."
MU_MuOrc,Mộc Trâm,Mũ Bạo Tàn
MU_MuOrc_des,"Trâm cài bằng gỗ, là thứ rẻ tiền",Cứng chắc. Khó coi. Mặt hàng thủ công truyền thống.
TS_VongOrc,Câu Hồn Linh,Vòng Xương
TS_VongOrc_des,"Trang sức đặc biệt của các vu sư, xuất hiện trong các nghi lễ cầu hồn",Không con thú nào bị giết để làm sản phẩm này. Mặt hàng thủ công truyền thống.
MU_Helmet,Phát Quán,Mũ Cơ Động
MU_Helmet_des,"Mũ đội đầu phổ thông, ai cũng có thể mua được","Nếu bạn muốn biết trông món đồ này ra sao, hãy bắt đầu một cuộc bạo động để nhìn cận cảnh từ các Vệ Binh!"
AG_Chainmail,Hộ Tâm Giáp,Giáp Vảy
AG_Chainmail_des,"Giáp có tấm đồng phía trước ngực, có thể tránh được đao kiếm","Chống chịu tốt, giữ ấm và giữ ẩm hoàn hảo. Rất thích hợp cho các hoạt động ngoài trời."
AG_Leather,Hổ Bì Sam,Áo Giáp Da
AG_Leather_des,"Áo làm từ da hổ, có thể chống lạnh, là thứ thợ săn ưa dùng",Lịch lãm hợp thời trang. Phong cách của các mạo hiểm giả ưa thích.
TS_RareAmulet,Hương Nang,Mặt Ngọc
TS_RareAmulet_des,"Túi thơm, các nữ hiệp ưa thích thứ này","Bùa hộ mạng cao cấp, viên ngọc trang trí rất to."
VK_BattleAxe,Chiến Phủ,Rìu chiến
VK_BattleAxe_des,"Rìu to và nặng, kẻ có sức mạnh mới sử dụng nổi",Chặt. Chém.
VK_Crossbow,Chiến Nỗ,Nỏ
VK_Crossbow_des,"Lực bắn mạnh, phù hợp với chiến trường",Nếu luyện bắn cung không thành thì thử cái này xem.
VK_Mace,Chiến Chùy,Chùy
VK_Mace_des,"Vũ khí nặng, có thể đập nát áo giáp",Sức mạnh trong tay bạn. Hoàn toàn theo nghĩa đen.
MU_GreatHelm,Sát Thủ Lạp,Mũ Rộng Vành
MU_GreatHelm_des,"Mũ của những tên sát thủ, che dấu danh tính của người dùng",Thời trang che nắng sành điệu mang phong cách quý tộc.
TS_EpicAmulet,Tuyệt Viêm Thạch,Dây Chuyền Ngọc Bích
TS_EpicAmulet_des,Loại đá đặc biệt được thương nhân Tây Vực mang đến,Bà ngoại tôi cũng có một cái giống vậy.
VK_WarHammer,Khai Sơn Phủ,Búa Chiến
VK_WarHammer_des,"Chiến phủ làm từ tinh thiết, vừa nặng vừa sắc bén",Nguy hiểm ở cả hai mặt búa.
,,
VK_GreatSword,Chân Vũ Kiếm,Cự Kiếm
VK_GreatSword_des,"Bảo kiếm của phải Võ Đang, chém sắt như bùn",Cứ chém đừng có đâm… Bảo rồi đấy nhé!
VK_Snipebow,Khổng Tước Linh,Cung Thiện Xạ
VK_Snipebow_des,"Ám khí độc môn của Đường Môn, khi sử dụng giống như khổng tước xòe đuôi, vừa đẹp vừa đầy sát khí",Nếu bắn không trúng có thể dùng cận chiến.
VK_Lance,Phương Thiên Họa Kích,Giáo
VK_Lance_des,"Vừa có thể đâm như mâu, cũng có thể chém như đao, là thứ vũ khí hoàn hảo trên lưng ngựa",Mạnh hơn khi dùng với ngựa. Không tặng kèm ngựa như bao bì.
VK_Glaive,Long Phụng Song Hoàn,Bản Đao
VK_Glaive_des,"Binh khí tùy thân của Thượng Quan Kim Hồng, đứng thứ 2 trong Binh Khí Phổ, là thứ binh khí tà dị",Sản xuất ở Tryna
VK_Scythe,Kim Xà Kiếm,Lưỡi Hái
VK_Scythe_des,"Kiếm có lưỡi uốn lượn như lưỡi rắn, màu vàng sáng nên mới có tên là Kim Xà, gắn liền với tên tuổi của Kim Xà Lang Quân",Vẫn còn hữu dụng sau khi về vui thú điền viên.
MU_Basssinet,Chu Tước Trâm,Mũ Tướng Quân
MU_Basssinet_des,"Trâm cài đầu hình Phượng Hoàng, dành cho những kẻ cao quý",Yên tâm lính của bạn không thể nào biết bạn đang run sợ.
MU_Sallet,Đoàn Thị Mão,Mũ Tiên Phong
MU_Sallet_des,"Mũ của Hoàng Tộc Đại Lý, chỉ bậc vương giả mới được dùng",Hãy chắc chắn bạn sở hữu chiếc mũ thời trang nhất chiến trường.
MU_Burgonet,Lam Linh Tú Trâm,Mũ Kị Sĩ
MU_Burgonet_des,"Trâm cài đầu được tìm thấy trong kho báu hoàng tộc, tương truyền làm từ gân và da của Giao Long, giúp người mang tránh được nước.",Khép kín và an toàn tối đa nhưng không quên một khoảng nhỏ. Đủ để ăn mì
MU_Crown,Mai Khôi Hồng Trâm,Vương Miện
MU_Crown_des,"Vật trang trí trên tóc của các hiệp khách, mang hình hoa hồng.",Hoàng thượng vạn tuế!
AG_Fullplate,Tử Thiên Bào,Hộ Thân Giáp
AG_Fullplate_des,"Y phục của Võ Đang chưởng môn qua các đời, tiên phong đạo cốt.",Có thể dùng làm nồi hấp vào mùa hè.
AG_Scale,Bích Nguyệt Thường,Giáp Vảy Vàng
AG_Scale_des,"Trang phục của Nga Mi chưởng môn, xuất trần thoát tục.",Thích hợp cho chiến đấu hoặc khi biểu diễn ca nhạc.
AG_Splint,Vô Song Thường,Cẩm Bào
AG_Splint_des,"Trang phục cao cấp, dệt từ tơ lụa thượng đẳng, rất khó bị rách",Nhìn quen quen…
AG_Laminar,Kim Ti Bảo Giáp,Hoàng Kim Giáp
AG_Laminar_des,"Áo giáp dệt từ sợi vàng, đao thương bất nhập",Áo giáp của hoàng gia được làm từ… thuế!
TS_LegendRing,Cửu Thiên Huyền Giới,Nhẫn Mặt Trời
TS_LegendRing_des,"Cửu Thiên Huyền Giới trong truyền thuyết là một cặp giới chỉ từ trên trời rơi xuống, là vật của tiên nhân, bề mặt điêu khắc hình Kim Long.",Không cần mang đến núi lửa để phá hủy. Món đồ này cực xịn.
TS_LegendNeckle,Phá Thiên Giới Chỉ,Kiềng Vàng
TS_LegendNeckle_des,"Thần vật truyền xuống từ thời thượng cổ, nghe đồn sinh ra từ mảnh vỡ của bầu trời.",Món quà lý tưởng để xin lỗi.
TS_LegendAmulet,Thiên Kiếm Bảo Châu,Bùa Hộ Mệnh Truyền thuyết
TS_LegendAmulet_des,"Vật trấn môn của một môn phái cổ xưa, phía trên khắc hình hai thanh bảo kiếm, kẻ mang vào có thể đả thông kinh mạch.",Mang hình dáng của một vị cổ thần. Không phải một trong những vị thần bị nhốt tại Đền Phong Ấn
VK_MMjolnir,Đồ Long Đao,
VK_MMjolnir_des,Võ Lâm Chí Tôn - Bảo Đao Đồ Long - Hiệu Lệnh Thiên Hạ - Ỷ Thiên Bất Xuất - Thùy Dữ Tranh Phong,
VK_MHofund,Ỷ Thiên Kiếm,
VK_MHofund_des,"Bảo kiếm, sánh cùng Đồ Long Đao, là 2 thanh thần binh nổi danh thiên hạ, sắc bén vô song",
VK_MValhalla,Huyền Thiết Trọng Kiếm,
VK_MValhalla_des,"Được rèn từ thiên ngoại vẫn thạch, cực kì nặng nề, phải là kẻ có nội lực thâm hậu mới có thể nhấc nổi thanh thần binh này",
VK_MGungnir,Đả Cẩu Bổng,
VK_MGungnir_des,"Trấn Phái chi bao của Cái Bang, là vật tượng trưng cho ngôi vị Bang Chủ, làm từ trúc nhưng có màu xanh ngắt như ngọc ",
VK_MGramr,Hồng Ti Tú Châm,
VK_MGramr_des,"Kim thêu bình thường được gắn với sợi chỉ đỏ, vào tay kẻ có võ công cao cường cũng trở thành thần binh lợi khí, là vũ khí ưa thích của Đông Phương Bất Bại",
VK_MHelBlade,Cự Khuyết Kiếm,
VK_MHelBlade_des,"Bảo kiếm được rèn bởi Âu Dã Tử, kiếm được rèn từ vàng và đồng, cực kì sắc bén",
MU_MThorHelm,Lưu Thái Tuyết Thanh,
MU_MThorHelm_des,"Dây buộc tóc, làm từ tơ lụa thượng hạng, nhẹ nhàng phiêu dật",
MU_MOdinEyepatch,Phỉ Thúy Kim Phụng,
MU_MOdinEyepatch_des,"Trâm cài làm từ Phỉ Thúy, điêu khắc hình phượng hoàng, được làm bởi tay nghệ nhân hàng đầu",
MU_MFreyaCrown,Hồng Hoang Trâm,
MU_MFreyaCrown_des,"Trâm cài sử dụng 1 khối thiên ngoại vẫn thạch làm nguyên liệu chính, nghe nói đã tồn tại từ xa xưa",
MU_MMimirSkull,Thái Cực Đầu Khôi,
MU_MMimirSkull_des,"Mũ làm bằng vải gấm thượng hạng, sử dụng cho những đạo nhân có đạo hạnh cao thâm",
AG_MWyrmplate,Nhuyễn Vị Giáp,
AG_MWyrmplate_des,"Giáp lót trong, đao thương bất nhập, có thể khiến kẻ tấn công bị thương nếu đánh phải áo này",
AG_MFroststeelArmor,Thánh Linh Bào,
AG_MFroststeelArmor_des,"Áo tùy thân của Kiếm Thánh, cực kì bền chắc, đao thương bất nhập",
AG_MWorldScale,Băng Phách,
AG_MWorldScale_des,"Sử dụng tơ của Băng Tằm ngàn năm để dệt, áo có màu trắng như tuyết, phát ra hàn khí lạnh thấu xương, phải có nội lực cao thâm mới mặc được thời gian dài.",
AG_MYggdrasilBark,Lệ Sát Cẩm Y,
AG_MYggdrasilBark_des,"Áo dệt từ kim tàm ti, đao thương bất nhập, vẻ ngoài đầy sát khí, tà đạo vô cùng.",
TS_MMythicalRing,Thánh Hỏa Lệnh,
TS_MMythicalRing_des,"Bảo vật của Minh Giáo, phía trên có khắc khẩu quyết của Càn Khôn Đại Na Di",
TS_MMythicalNecklace,Bạch Hổ Lệnh,
TS_MMythicalNecklace_des,"Lệnh bài khắc hình Bạch Hổ trong Tứ Linh, nghe đồn là của một môn phái cổ xưa ",
TS_MMythical_Amulet,Thất Tinh Hạng Liên,
TS_MMythical_Amulet_des,"Hạng liên có hình Thất Tinh Bắc Đẩu, hấp thu linh khí từ Thất Tinh, có tác dụng tránh tà, thủy hỏa bất xâm",
GetTradeRewardsForFree,Chưởng Môn nhận được {0}.,Bạn nhận được {0}.
Trade,Đổi những thứ sau,Đổi những thứ sau
Trade2,lấy,lấy
NextChap,Tới chương tiếp theo?,Tới chương tiếp theo?
MineReward,Cấp thưởng Đại Điện tăng lên {0}! (+{1} cấp),Cấp thưởng AFK tăng lên {0}! (+{1} cấp)
,,
BasicSubPack,Gói Đăng ký cơ bản,Gói Đăng ký cơ bản
PremiumSubPack,Gói Đăng Ký Cao Cấp,Gói Đăng Ký Cao Cấp
OfferDaily_1,Đề cử Hàng ngày 1,Đề cử Hàng ngày 1
OfferDaily_2,Đề cử Hàng ngày 2,Đề cử Hàng ngày 2
OfferDaily_3,Đề cử Hàng ngày 3,Đề cử Hàng ngày 3
OfferDaily_4,Đề cử Hàng ngày 4,Đề cử Hàng ngày 4
OfferMonthly_1,Đề cử Hàng Tháng 1,Đề cử Hàng Tháng 1
OfferMonthly_2,Đề cử Hàng Tháng 2,Đề cử Hàng Tháng 2
OfferMonthly_3,Đề cử Hàng Tháng 3,Đề cử Hàng Tháng 3
OfferMonthly_4,Đề cử Hàng Tháng 4,Đề cử Hàng Tháng 4
OfferCampaign_3,Võ Đang Bí Bảo,Kho báu của Nữ Tư Tế
OfferCampaign_4,Kho Báu Đại Lý,Ưu đãi đặc biệt của Vương quốc Frost
OfferCampaign_5,Rương Thần Bí,Bít mật của Người Bí Ẩn
OfferCampaign_6,Bảo Khố Hoàng Cung,Đề cử của Hoàng Gia xứ Frost
OfferCampaign_7,Bí Ẩn Chung Nam,Ưu đãi của Đoàn lữ hành sa mạc
OfferCampaign_8,Toàn Chân Bảo Khố,Bí mật của Tộc Bò Sát
OfferCampaign_9,Rương Cổ Mộ,Myrin Đề cử đặc biệt
OfferCampaign_10,Rương Hoa Sơn,Ưu đãi của Thợ Rèn tộc Người Lùn
OfferCampaign_11,Ngũ Tuyệt Bảo Rương,Đề cử cho Cứu tinh của Tộc Bò Sát
OfferCampaign_12,Băng Hỏa Bảo Bối,Ưu đãi giao dịch với Cướp Biển
OfferCampaign_13,Quang Minh Chi Bí,Đề cử từ đám Buôn lậu Bất tử
OfferCampaign_14,Minh Giáo Bảo Rương,Quà tặng của Anna
OfferCampaign_15,Rương Bí Ẩn,Quà lưu niệm từ Spine Field
OfferCampaign_16,Rương Bí Ẩn,Hòm báu ẩn dấu trong lâu đài Skulds
OfferCampaign_17,Kho Báu Tuyết Sơn,Ưu đãi của Người Gấu
OfferCampaign_18,Đại Tuyết Sơn Bảo Vật,Món quà băng giá
OfferCampaign_19,Bạch Vân Kho Tàng,Kho báu Người Lùn Cổ Đại
OfferCampaign_20,Rương Bí Ẩn,Ưu đãi cho Tình yêu của Selene
OfferCampaign_21,Đường Môn Cơ Quan,Quà lưu niệm từ Đầm lầy
OfferCampaign_22,Khổng Tước Kho Tàng,Ưu đãi của Tinh linh
OfferCampaign_23,Đào Hoa Bảo Rương,Kho báu trong hang sâu
OfferCampaign_24,Nga Mi Bảo Rương,Chiếc hộp cổ của Angela
OfferCampaign_25,Đại Mạc Kho Báu,Quà lưu niệm từ Amercles
OfferCampaign_26,Rương Bí Ẩn,Gói Hoa Xanh
OfferCampaign_27,Thất Tinh Bảo Rương,Gói Hoa Đỏ
OfferCampaign_28,Rương Bí Ẩn,Nữ Tư Tế Thiện nguyện đề cử
OfferCampaign_29,Huyết Rương,Công tước bệnh đề cử
OfferCampaign_30,Đoạn Thiên Bí Bảo,Ưu đãi của Khe Nứt
OfferTower_100,Rương Hắc Mộc Nhai tầng 100,Vượt tháp đề cử tầng 100
OfferTower_110,Rương Hắc Mộc Nhai tầng 110,Vượt tháp đề cử tầng 110
OfferTower_120,Rương Hắc Mộc Nhai tầng 120,Vượt tháp đề cử tầng 120
OfferTower_130,Rương Hắc Mộc Nhai tầng 130,Vượt tháp đề cử tầng 130
OfferTower_140,Rương Hắc Mộc Nhai tầng 140,Vượt tháp đề cử tầng 140
OfferTower_150,Rương Hắc Mộc Nhai tầng 150,Vượt tháp đề cử tầng 150
OfferTower_160,Rương Hắc Mộc Nhai tầng 160,Vượt tháp đề cử tầng 160
OfferTower_170,Rương Hắc Mộc Nhai tầng 170,Vượt tháp đề cử tầng 170
OfferTower_180,Rương Hắc Mộc Nhai tầng 180,Vượt tháp đề cử tầng 180
OfferTower_190,Rương Hắc Mộc Nhai tầng 190,Vượt tháp đề cử tầng 190
OfferTower_200,Rương Hắc Mộc Nhai tầng 200,Vượt tháp đề cử tầng 200
OfferTower_210,Rương Hắc Mộc Nhai tầng 210,Vượt tháp đề cử tầng 210
OfferTower_220,Rương Hắc Mộc Nhai tầng 220,Vượt tháp đề cử tầng 220
OfferTower_230,Rương Hắc Mộc Nhai tầng 230,Vượt tháp đề cử tầng 230
OfferTower_240,Rương Hắc Mộc Nhai tầng 240,Vượt tháp đề cử tầng 240
OfferTower_250,Rương Hắc Mộc Nhai tầng 250,Vượt tháp đề cử tầng 250
OfferTower_260,Rương Hắc Mộc Nhai tầng 260,Vượt tháp đề cử tầng 260
OfferTower_270,Rương Hắc Mộc Nhai tầng 270,Vượt tháp đề cử tầng 270
OfferTower_280,Rương Hắc Mộc Nhai tầng 280,Vượt tháp đề cử tầng 280
OfferTower_290,Rương Hắc Mộc Nhai tầng 290,Vượt tháp đề cử tầng 290
OfferTower_300,Rương Hắc Mộc Nhai tầng 300,Vượt tháp đề cử tầng 300
OfferTower_310,Rương Hắc Mộc Nhai tầng 310,Vượt tháp đề cử tầng 310
OfferTower_320,Rương Hắc Mộc Nhai tầng 320,Vượt tháp đề cử tầng 320
OfferTower_330,Rương Hắc Mộc Nhai tầng 330,Vượt tháp đề cử tầng 330
OfferPlayerLevel_60,Gói Ưu Đãi Môn Phái cấp 60,Người chơi vượt cấp 60
OfferPlayerLevel_70,Gói Ưu Đãi Môn Phái cấp 70,Người chơi vượt cấp 70
OfferPlayerLevel_80,Gói Ưu Đãi Môn Phái cấp 80,Người chơi vượt cấp 80
OfferPlayerLevel_90,Gói Ưu Đãi Môn Phái cấp 90,Người chơi vượt cấp 90
OfferPlayerLevel_100,Gói Ưu Đãi Môn Phái cấp 100,Người chơi vượt cấp 100
OfferPlayerLevel_110,Gói Ưu Đãi Môn Phái cấp 110,Người chơi vượt cấp 110
OfferPlayerLevel_120,Gói Ưu Đãi Môn Phái cấp 120,Người chơi vượt cấp 120
OfferPlayerLevel_130,Gói Ưu Đãi Môn Phái cấp 130,Người chơi vượt cấp 130
OfferPlayerLevel_140,Gói Ưu Đãi Môn Phái cấp 140,Người chơi vượt cấp 140
OfferPlayerLevel_150,Gói Ưu Đãi Môn Phái cấp 150,Người chơi vượt cấp 150
OfferPlayerLevel_160,Gói Ưu Đãi Môn Phái cấp 160,Người chơi vượt cấp 160
OfferPlayerLevel_170,Gói Ưu Đãi Môn Phái cấp 170,Người chơi vượt cấp 170
OfferPlayerLevel_180,Gói Ưu Đãi Môn Phái cấp 180,Người chơi vượt cấp 180
OfferPlayerLevel_190,Gói Ưu Đãi Môn Phái cấp 190,Người chơi vượt cấp 190
OfferPlayerLevel_200,Gói Ưu Đãi Môn Phái cấp 200,Người chơi vượt cấp 200
OfferPlayerLevel_210,Gói Ưu Đãi Môn Phái cấp 210,Người chơi vượt cấp 210
,,
L1_HOITHOAI_0_DOANDU,"Quân Kim đã tràn vào thành, hy vọng mọi người vẫn đang cầm chân bọn chúng!",
L1_HOITHOAI_1_DAN,"Bọn chúng quá mạnh, tại hạ bất tài không thể làm gì được...",
L1_HOITHOAI_2_LINHCANH,"Đứng lại, mấy tên Tống binh nhãi nhép!",
L1_HOITHOAI_3_HUTRUC,Bọn chúng tràn vào rồi! Tam đệ mau giúp ta giải vây!,
L1_HOITHOAI_4_DOANDU,Đại Ca kìa! Huynh ấy cần chúng ta giúp đỡ!,
L1_HOITHOAI_5_TIEUPHONG,"Quân Kim chặn cửa Nhạn Môn Quan, chắc hẳn bọn chúng đã tiến vào Trung Nguyên. Các đệ mau giúp ta một tay!",
L1_HOITHOAI_6_TIEUPHONG,"Bọn chúng đang hướng lên núi Võ Đang, chúng ta mau đuổi theo chúng. Hy vọng các cao thủ có thể cầm cự được.",
L1_HOITHOAI_7_TUONGKIM,"Thêm viện binh hả, các ngươi cũng không có cơ hội chống lại bọn ta đâu?",
L1_CON_1_1_DOANDU,Phía cổng thành có đánh nhau to. Chúng ta mau ra giúp!,
L1_CON_1_2_HUTRUC,"Nhanh lên thôi, quân địch đã phá sập cổng thành rồi.",
L1_HOITHOAI_8_DOANDU,Bọn chúng chặn cửa để ngăn chúng ta cứu viện. Số còn lại đang tràn vào Trung Nguyên rồi!,
L1_HOITHOAI_9_TDBV,Không kẻ nào được bước qua cửa này!,
L1_HOITHOAI_10_DAN,"Cháy, cháy hết cả rồi !!!",
L1_HOITHOAI_11_DAN,Quân Kim khốn kiếp đã cướp phá sạch cả làng rồi!,
